id,input
2wikimqa_e_1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?"
2wikimqa_e_2,Where was the director of film Requiem For Dominic born?
2wikimqa_e_3,What is the place of birth of Ibrahim Ibn Muhammad's mother?
2wikimqa_e_4,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?"
2wikimqa_e_5,"Who was born first, Damien Hétu or Matan Cohen?"
2wikimqa_e_6,Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?
2wikimqa_e_7,"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? "
2wikimqa_e_8,Are both Flying Fifty-Five and Approaching Midnight from the same country?
2wikimqa_e_9,What is the place of birth of Anne Elizabeth Rector's husband?
2wikimqa_e_10,Was Bronisław Dembowski or Carlo Delle Piane born first?
2wikimqa_e_11,"Which film has the director who was born later, Alludugaru or The Laughing Woman?"
2wikimqa_e_12,Who is the father of the director of film Kajraare?
2wikimqa_e_13,"Which film has the director died earlier, The Coca-Cola Kid or Ayul Kaithi?"
2wikimqa_e_14,"Who lived longer, Ole Arntzen or Harry Albert Willis?"
2wikimqa_e_15,"Which film came out earlier, Olavina Udugore or A Pearl In The Forest?"
2wikimqa_e_16,"Which song was released first, L'Histoire D'Une Fée, C'Est... or I Can Change (Lcd Soundsystem Song)?"
2wikimqa_e_17,What is the place of birth of the director of film Sweepstakes (Film)?
2wikimqa_e_18,Where was the director of film En Aasai Rasave born?
2wikimqa_e_19,Where did the director of film The Eagle'S Eye study?
2wikimqa_e_20,"Who is Stephen, Count Palatine Of Simmern-Zweibrücken's maternal grandmother?"
2wikimqa_e_21,"What is the place of birth of the composer of film Yandé Codou, La Griotte De Senghor?"
2wikimqa_e_22,"Which film has the director who is older than the other, The Man With The Glass Eye or The Pom Pom Girls? "
2wikimqa_e_23,"Who is older, Maksim Kedrin or Peggy Pettitt?"
2wikimqa_e_24,"Which film was released more recently, Free China: The Courage To Believe or The Rebel Set?"
2wikimqa_e_25,"Are both villages, Little Rock Village and Jamal Beyg, located in the same country?"
2wikimqa_e_26,"Which film whose director is younger, The Goose Woman or You Can No Longer Remain Silent?"
2wikimqa_e_27,Where was the director of film La Grande Meute born?
2wikimqa_e_28,Are Edmonton/Twin Island Airpark and Mayerthorpe Airport located in the same country?
2wikimqa_e_29,"Which film has the director who was born later, The Man Is Armed or Wolf Warrior?"
2wikimqa_e_30,Where did the director of film I Live On Danger die?
2wikimqa_e_31,"Which film came out earlier, Just Friends or Enkeyo Ketta Kural?"
2wikimqa_e_32,Who is Domhnall Mac Alasdair's paternal grandfather?
2wikimqa_e_33,"Who is John Of Luxembourg, Count Of Soissons's maternal grandfather?"
2wikimqa_e_34,What is the cause of death of director of film Disgraced!?
2wikimqa_e_35,Which country the director of film Mrs. Gibbons' Boys (Film) is from?
2wikimqa_e_36,"Who is the mother of Nicholas Crispo, Lord Of Syros?"
2wikimqa_e_37,"Who is the paternal grandfather of Louis Iv, Count Of Chiny?"
2wikimqa_e_38,"What is the date of birth of George Ernest, Count Of Erbach-Wildenstein's father?"
2wikimqa_e_39,What nationality is the director of film World And Time Enough?
2wikimqa_e_40,Where was the director of film The Dangerous Talent born?
